번호|평점|영화|140자평|글쓴이|날짜
16478505|"감쪽같은 그녀

별점 - 총 10점 중10

잘보고왔습니다!!!ㅎ 
			
			
			
				
				
				
				신고"|감쪽같은 그녀|잘보고왔습니다!!!ㅎ |jh90****|19.12.11
16478504|"인터스텔라

별점 - 총 10점 중10

만박사 너어는 진짜.... 
			
			
			
				
				
				
				신고"|인터스텔라|만박사 너어는 진짜.... |ssoh****|19.12.11
16478502|"겨울왕국 2

별점 - 총 10점 중10

렛잇고를 능가하진 못하지만 그에 비길만한 OST가 2곡이나 있습니다! 
			
			
			
				
				
				
				신고"|겨울왕국 2|렛잇고를 능가하진 못하지만 그에 비길만한 OST가 2곡이나 있습니다! |jong****|19.12.11
16478501|"나이브스 아웃

별점 - 총 10점 중7

기대하지 마시고 보세요스토리도  뻔한내용임40대관점 소소 
			
			
			
				
				
				
				신고"|나이브스 아웃|기대하지 마시고 보세요스토리도  뻔한내용임40대관점 소소 |tanu****|19.12.11
16478499|"타이타닉 2

별점 - 총 10점 중10

개웃김종말 어조쥬대넌 
			
			
			
				
				
				
				신고"|타이타닉 2|개웃김종말 어조쥬대넌 |www0****|19.12.11
16478498|"쥬만지: 넥스트 레벨

별점 - 총 10점 중10


신고"|쥬만지: 넥스트 레벨||berr****|19.12.11
16478497|"쥬만지: 넥스트 레벨

별점 - 총 10점 중2

겨울왕국  보다 노잼 입니다 돈이아깝습니다 
			
			
			
				
				
				
				신고"|쥬만지: 넥스트 레벨|겨울왕국  보다 노잼 입니다 돈이아깝습니다 |min9****|19.12.11
16478496|"감쪽같은 그녀

별점 - 총 10점 중10

나는 진짜 잘봣어요 연기는 좋앗어요 억양은 어색했다해도 아이들 연기도 너무 귀엽고 재밌었고 슬픔을 모아나서 많이 슬펐어요 치매라는병은 진짜 무섭습니다. 그냥 따뜻하고 슬펐어요 
			
			
			
				
				
				
				신고"|감쪽같은 그녀|나는 진짜 잘봣어요 연기는 좋앗어요 억양은 어색했다해도 아이들 연기도 너무 귀엽고 재밌었고 슬픔을 모아나서 많이 슬펐어요 치매라는병은 진짜 무섭습니다. 그냥 따뜻하고 슬펐어요 |qjrj****|19.12.11
16478495|"이태원

별점 - 총 10점 중10


신고"|이태원||tkda****|19.12.11
16478494|"감쪽같은 그녀

별점 - 총 10점 중10

할머니가 보고싶은 그런 애틋하고 감동있는 영화였습니다. 
			
			
			
				
				
				
				신고"|감쪽같은 그녀|할머니가 보고싶은 그런 애틋하고 감동있는 영화였습니다. |alzm****|19.12.11
16478505|"감쪽같은 그녀

별점 - 총 10점 중10

잘보고왔습니다!!!ㅎ 
			
			
			
				
				
				
				신고"|감쪽같은 그녀|잘보고왔습니다!!!ㅎ |jh90****|19.12.11
16478504|"인터스텔라

별점 - 총 10점 중10

만박사 너어는 진짜.... 
			
			
			
				
				
				
				신고"|인터스텔라|만박사 너어는 진짜.... |ssoh****|19.12.11
16478502|"겨울왕국 2

별점 - 총 10점 중10

렛잇고를 능가하진 못하지만 그에 비길만한 OST가 2곡이나 있습니다! 
			
			
			
				
				
				
				신고"|겨울왕국 2|렛잇고를 능가하진 못하지만 그에 비길만한 OST가 2곡이나 있습니다! |jong****|19.12.11
16478501|"나이브스 아웃

별점 - 총 10점 중7

기대하지 마시고 보세요스토리도  뻔한내용임40대관점 소소 
			
			
			
				
				
				
				신고"|나이브스 아웃|기대하지 마시고 보세요스토리도  뻔한내용임40대관점 소소 |tanu****|19.12.11
16478499|"타이타닉 2

별점 - 총 10점 중10

개웃김종말 어조쥬대넌 
			
			
			
				
				
				
				신고"|타이타닉 2|개웃김종말 어조쥬대넌 |www0****|19.12.11
16478498|"쥬만지: 넥스트 레벨

별점 - 총 10점 중10


신고"|쥬만지: 넥스트 레벨||berr****|19.12.11
16478497|"쥬만지: 넥스트 레벨

별점 - 총 10점 중2

겨울왕국  보다 노잼 입니다 돈이아깝습니다 
			
			
			
				
				
				
				신고"|쥬만지: 넥스트 레벨|겨울왕국  보다 노잼 입니다 돈이아깝습니다 |min9****|19.12.11
16478496|"감쪽같은 그녀

별점 - 총 10점 중10

나는 진짜 잘봣어요 연기는 좋앗어요 억양은 어색했다해도 아이들 연기도 너무 귀엽고 재밌었고 슬픔을 모아나서 많이 슬펐어요 치매라는병은 진짜 무섭습니다. 그냥 따뜻하고 슬펐어요 
			
			
			
				
				
				
				신고"|감쪽같은 그녀|나는 진짜 잘봣어요 연기는 좋앗어요 억양은 어색했다해도 아이들 연기도 너무 귀엽고 재밌었고 슬픔을 모아나서 많이 슬펐어요 치매라는병은 진짜 무섭습니다. 그냥 따뜻하고 슬펐어요 |qjrj****|19.12.11
16478495|"이태원

별점 - 총 10점 중10


신고"|이태원||tkda****|19.12.11
16478494|"감쪽같은 그녀

별점 - 총 10점 중10

할머니가 보고싶은 그런 애틋하고 감동있는 영화였습니다. 
			
			
			
				
				
				
				신고"|감쪽같은 그녀|할머니가 보고싶은 그런 애틋하고 감동있는 영화였습니다. |alzm****|19.12.11
